gameId,playId,nflId,frameId,time,jerseyNumber,team,playDirection,x,y,s,a,dis,o,dir,event
2021103111,1185,35441,1,10/31/2021 21:11,93,TB,right,19.8,27.2,0.17,0.2,0.01,291.86,310.3,None
2021103111,1185,35441,2,10/31/2021 21:11,93,TB,right,19.79,27.21,0.15,0.18,0.01,291.86,311.9,None
2021103111,1185,35441,3,10/31/2021 21:11,93,TB,right,19.77,27.23,0.15,0.17,0.03,286.94,314.2,None
2021103111,1185,35441,4,10/31/2021 21:11,93,TB,right,19.72,27.21,0.15,0.16,0.06,286.94,293.19,None
2021103111,1185,35441,5,10/31/2021 21:11,93,TB,right,19.67,27.21,0.18,0.21,0.05,285.7,283.83,None
2021103111,1185,35441,6,10/31/2021 21:11,93,TB,right,19.64,27.23,0.24,0.55,0.04,282.79,280.01,ball_snap
2021103111,1185,35441,7,10/31/2021 21:11,93,TB,right,19.58,27.26,0.44,1.2,0.07,282.79,286.02,autoevent_ballsnap
2021103111,1185,35441,8,10/31/2021 21:11,93,TB,right,19.49,27.29,0.84,2.26,0.09,291.44,284.32,None
2021103111,1185,35441,9,10/31/2021 21:11,93,TB,right,19.39,27.31,1.23,2.7,0.11,286.48,282.99,None
2021103111,1185,35441,10,10/31/2021 21:11,93,TB,right,19.26,27.34,1.48,2.27,0.13,287.93,283.96,None
2021103111,1185,35441,11,10/31/2021 21:11,93,TB,right,19.09,27.39,1.81,1.83,0.17,291.99,285.38,None
2021103111,1185,35441,12,10/31/2021 21:11,93,TB,right,18.91,27.44,1.97,1.24,0.19,296.16,285.32,None
2021103111,1185,35441,13,10/31/2021 21:11,93,TB,right,18.71,27.47,2.05,0.66,0.2,298.84,279.99,None
2021103111,1185,35441,14,10/31/2021 21:11,93,TB,right,18.52,27.49,2,0.59,0.2,300.42,276.88,None
2021103111,1185,35441,15,10/31/2021 21:11,93,TB,right,18.33,27.51,1.92,0.96,0.19,302.87,274.64,None
2021103111,1185,35441,16,10/31/2021 21:11,93,TB,right,18.14,27.52,1.83,1.24,0.19,309.57,272.26,None
2021103111,1185,35441,17,10/31/2021 21:11,93,TB,right,17.96,27.51,1.73,1.45,0.18,320.45,267.88,None
2021103111,1185,35441,18,10/31/2021 21:11,93,TB,right,17.79,27.49,1.62,1.53,0.17,328.42,263.13,None
2021103111,1185,35441,19,10/31/2021 21:11,93,TB,right,17.62,27.45,1.63,1.37,0.18,341.96,256.88,None
2021103111,1185,35441,20,10/31/2021 21:11,93,TB,right,17.44,27.37,1.72,1.27,0.19,335.79,248.83,None
2021103111,1185,35441,21,10/31/2021 21:11,93,TB,right,17.26,27.29,1.81,1.03,0.2,328.18,245.02,None
2021103111,1185,35441,22,10/31/2021 21:11,93,TB,right,17.09,27.22,1.81,0.75,0.18,322.9,243.62,None
2021103111,1185,35441,23,10/31/2021 21:11,93,TB,right,16.92,27.15,1.77,0.59,0.18,314.65,244.34,None
2021103111,1185,35441,24,10/31/2021 21:11,93,TB,right,16.77,27.09,1.67,0.76,0.17,304.85,246.77,None
2021103111,1185,35441,25,10/31/2021 21:11,93,TB,right,16.62,27.04,1.56,1.15,0.16,296.75,251.29,None
2021103111,1185,35441,26,10/31/2021 21:11,93,TB,right,16.47,27.05,1.4,1.98,0.14,286.8,269.11,None
2021103111,1185,35441,27,10/31/2021 21:11,93,TB,right,16.34,27.09,1.35,2.19,0.14,285.71,283.92,None
2021103111,1185,35441,28,10/31/2021 21:11,93,TB,right,16.21,27.13,1.36,1.99,0.14,285.71,293.83,None
2021103111,1185,35441,29,10/31/2021 21:11,93,TB,right,16.07,27.19,1.41,1.64,0.15,287.26,299.63,None
2021103111,1185,35441,30,10/31/2021 21:11,93,TB,right,15.93,27.27,1.48,1.14,0.16,287.26,302.86,None
2021103111,1185,35441,31,10/31/2021 21:11,93,TB,right,15.79,27.36,1.56,0.75,0.17,287.26,305.74,None
2021103111,1185,35441,32,10/31/2021 21:11,93,TB,right,15.65,27.45,1.58,0.5,0.16,287.26,307.1,None
2021103111,1185,35441,33,10/31/2021 21:11,93,TB,right,15.51,27.58,1.7,0.24,0.19,281.94,309.02,None
2021103111,1185,35441,34,10/31/2021 21:11,93,TB,right,15.35,27.7,1.82,0.21,0.2,273.03,309.89,None
2021103111,1185,35441,35,10/31/2021 21:11,93,TB,right,15.21,27.83,1.85,0.21,0.19,270.17,311.43,None
2021103111,1185,35441,36,10/31/2021 21:11,93,TB,right,15.08,27.95,1.82,0.38,0.18,269.42,312.31,None
2021103111,1185,35441,37,10/31/2021 21:11,93,TB,right,14.95,28.07,1.78,0.64,0.18,269.42,312.92,None
2021103111,1185,35441,38,10/31/2021 21:11,93,TB,right,14.88,28.23,1.63,1.36,0.17,277.64,324.71,None
2021103111,1185,35441,39,10/31/2021 21:11,93,TB,right,14.82,28.34,1.38,1.73,0.13,277.64,331.25,None
2021103111,1185,35441,40,10/31/2021 21:11,93,TB,right,14.77,28.45,1.17,1.84,0.12,275.78,336.95,None
2021103111,1185,35441,41,10/31/2021 21:11,93,TB,right,14.76,28.53,0.92,2.28,0.09,275.78,349.87,None
2021103111,1185,35441,42,10/31/2021 21:11,93,TB,right,14.78,28.59,0.64,2.94,0.06,277.36,22.96,None
2021103111,1185,35441,43,10/31/2021 21:11,93,TB,right,14.83,28.63,0.72,4.45,0.06,267.02,68.59,None
2021103111,1185,35441,44,10/31/2021 21:11,93,TB,right,14.92,28.63,1.03,3.69,0.09,262.4,92.57,None
2021103111,1185,35441,45,10/31/2021 21:11,93,TB,right,15.04,28.61,1.33,2.82,0.12,257.71,105.63,None
2021103111,1185,35441,46,10/31/2021 21:11,93,TB,right,15.18,28.55,1.6,2.15,0.15,249.27,114.18,None
2021103111,1185,35441,47,10/31/2021 21:11,93,TB,right,15.33,28.45,1.86,1.82,0.18,238.62,122.44,None
2021103111,1185,35441,48,10/31/2021 21:11,93,TB,right,15.49,28.33,2.03,1.55,0.2,226.12,128.83,None
2021103111,1185,35441,49,10/31/2021 21:11,93,TB,right,15.64,28.17,2.18,1.44,0.22,218.83,135.28,None
2021103111,1185,35441,50,10/31/2021 21:11,93,TB,right,15.78,27.99,2.29,1.53,0.23,222.47,142.19,None
2021103111,1185,35441,51,10/31/2021 21:11,93,TB,right,15.91,27.77,2.45,1.77,0.25,224.13,149.34,None
2021103111,1185,35441,52,10/31/2021 21:11,93,TB,right,16.03,27.56,2.5,1.65,0.25,217.45,153.52,None
2021103111,1185,35441,53,10/31/2021 21:11,93,TB,right,16.14,27.32,2.54,1.33,0.26,219.55,156.73,None
2021103111,1185,35441,54,10/31/2021 21:11,93,TB,right,16.23,27.09,2.51,1.19,0.25,223.69,159.52,None
2021103111,1185,35441,55,10/31/2021 21:11,93,TB,right,16.33,26.85,2.47,0.99,0.25,235.08,159.09,None
2021103111,1185,35441,56,10/31/2021 21:11,93,TB,right,16.43,26.64,2.32,1.35,0.24,243.66,156.47,None
2021103111,1185,35441,57,10/31/2021 21:11,93,TB,right,16.55,26.45,2.15,2,0.22,256.56,148.79,None
2021103111,1185,35441,58,10/31/2021 21:11,93,TB,right,16.69,26.3,1.99,2.67,0.21,275.74,138.52,None
2021103111,1185,35441,59,10/31/2021 21:11,93,TB,right,16.85,26.19,1.89,3.66,0.19,295.72,121.03,None
2021103111,1185,35441,60,10/31/2021 21:11,93,TB,right,17.02,26.12,1.9,4.14,0.19,308.26,104.84,None
2021103111,1185,35441,61,10/31/2021 21:11,93,TB,right,17.22,26.11,2.01,3.96,0.2,324.15,89.93,None
2021103111,1185,35441,62,10/31/2021 21:11,93,TB,right,17.44,26.15,2.28,3.86,0.22,335.8,76.39,None
2021103111,1185,35441,63,10/31/2021 21:11,93,TB,right,17.67,26.25,2.64,3.83,0.26,2.12,64.1,None
2021103111,1185,35441,64,10/31/2021 21:11,93,TB,right,17.92,26.39,2.96,3.55,0.28,14.23,57.03,None
2021103111,1185,35441,65,10/31/2021 21:11,93,TB,right,18.17,26.57,3.22,2.73,0.31,32.14,52.32,None
2021103111,1185,35441,66,10/31/2021 21:11,93,TB,right,18.44,26.8,3.54,2.17,0.35,30.61,48.07,None
2021103111,1185,35441,67,10/31/2021 21:11,93,TB,right,18.73,27.08,3.9,1.89,0.4,30.61,45.17,None
2021103111,1185,35441,68,10/31/2021 21:11,93,TB,right,19.01,27.37,4.11,1.46,0.41,36.51,43.07,None
2021103111,1185,35441,69,10/31/2021 21:11,93,TB,right,19.3,27.7,4.3,1.11,0.44,38.75,40.68,None
2021103111,1185,35441,70,10/31/2021 21:11,93,TB,right,19.58,28.05,4.41,0.91,0.45,48.38,39.11,None
2021103111,1185,35441,71,10/31/2021 21:11,93,TB,right,19.87,28.4,4.51,0.79,0.46,46.07,38.41,None
2021103111,1185,35441,72,10/31/2021 21:11,93,TB,right,20.15,28.76,4.49,1.09,0.45,48.71,37.14,None
2021103111,1185,35441,73,10/31/2021 21:11,93,TB,right,20.42,29.13,4.51,1.3,0.46,48.71,36.4,None
2021103111,1185,35441,74,10/31/2021 21:11,93,TB,right,20.69,29.51,4.49,1.53,0.46,50.25,34.85,run
