"","gameId","playId","nflId","frameId","time","jerseyNumber","team","playDirection","x","y","s","a","dis","o","dir","event","week"
"1",2021091207,3828,35472,1,"2021-09-12T19:59:55.200",76,"TEN","right",77.65,25.41,0.1,0.44,0.01,3.36,171.27,"None",1
"2",2021091207,3828,35472,2,"2021-09-12T19:59:55.300",76,"TEN","right",77.65,25.4,0.14,0.36,0.01,6.91,181.35,"None",1
"3",2021091207,3828,35472,3,"2021-09-12T19:59:55.400",76,"TEN","right",77.64,25.39,0.16,0.3,0.01,13.48,199.2,"None",1
"4",2021091207,3828,35472,4,"2021-09-12T19:59:55.500",76,"TEN","right",77.63,25.38,0.16,0.33,0.02,22.28,232.75,"None",1
"5",2021091207,3828,35472,5,"2021-09-12T19:59:55.600",76,"TEN","right",77.61,25.39,0.19,0.46,0.02,36.13,274.58,"None",1
"6",2021091207,3828,35472,6,"2021-09-12T19:59:55.700",76,"TEN","right",77.58,25.4,0.27,0.46,0.03,38.15,287.49,"ball_snap",1
"7",2021091207,3828,35472,7,"2021-09-12T19:59:55.800",76,"TEN","right",77.55,25.42,0.38,0.51,0.04,43.78,298.79,"None",1
"8",2021091207,3828,35472,8,"2021-09-12T19:59:55.900",76,"TEN","right",77.5,25.44,0.49,0.55,0.05,48.61,302.05,"None",1
"9",2021091207,3828,35472,9,"2021-09-12T19:59:56.000",76,"TEN","right",77.45,25.48,0.61,0.58,0.06,51.29,305.87,"None",1
"10",2021091207,3828,35472,10,"2021-09-12T19:59:56.100",76,"TEN","right",77.4,25.53,0.7,0.44,0.07,51.29,308.61,"None",1
"11",2021091207,3828,35472,11,"2021-09-12T19:59:56.200",76,"TEN","right",77.33,25.58,0.76,0.26,0.08,52.95,309.89,"None",1
"12",2021091207,3828,35472,12,"2021-09-12T19:59:56.300",76,"TEN","right",77.27,25.63,0.8,0.1,0.08,51.79,308.82,"None",1
"13",2021091207,3828,35472,13,"2021-09-12T19:59:56.400",76,"TEN","right",77.2,25.68,0.81,0.08,0.08,47.52,308.8,"None",1
"14",2021091207,3828,35472,14,"2021-09-12T19:59:56.500",76,"TEN","right",77.13,25.73,0.85,0.14,0.09,44.24,305.91,"None",1
"15",2021091207,3828,35472,15,"2021-09-12T19:59:56.600",76,"TEN","right",77.05,25.78,0.88,0.19,0.09,39.15,304.17,"None",1
"16",2021091207,3828,35472,16,"2021-09-12T19:59:56.700",76,"TEN","right",76.96,25.83,0.93,0.21,0.1,34.6,302.05,"None",1
"17",2021091207,3828,35472,17,"2021-09-12T19:59:56.800",76,"TEN","right",76.84,25.88,1.09,0.41,0.13,25.09,295.23,"None",1
"18",2021091207,3828,35472,18,"2021-09-12T19:59:56.900",76,"TEN","right",76.71,25.92,1.2,0.55,0.13,18.68,289.58,"None",1
"19",2021091207,3828,35472,19,"2021-09-12T19:59:57.000",76,"TEN","right",76.55,25.95,1.43,0.85,0.17,12.6,284.44,"None",1
"20",2021091207,3828,35472,20,"2021-09-12T19:59:57.100",76,"TEN","right",76.37,25.99,1.68,0.96,0.19,6.16,282.41,"None",1
"21",2021091207,3828,35472,21,"2021-09-12T19:59:57.200",76,"TEN","right",76.16,26.04,2,1.21,0.22,1.45,281.85,"None",1
"22",2021091207,3828,35472,22,"2021-09-12T19:59:57.300",76,"TEN","right",75.93,26.1,2.23,1.12,0.23,356.24,282.19,"None",1
"23",2021091207,3828,35472,23,"2021-09-12T19:59:57.400",76,"TEN","right",75.68,26.16,2.51,1.04,0.26,347.37,282.98,"None",1
"24",2021091207,3828,35472,24,"2021-09-12T19:59:57.500",76,"TEN","right",75.41,26.22,2.7,0.74,0.28,342.35,282.56,"None",1
"25",2021091207,3828,35472,25,"2021-09-12T19:59:57.600",76,"TEN","right",75.12,26.28,2.84,0.36,0.29,339.71,281.83,"None",1
"26",2021091207,3828,35472,26,"2021-09-12T19:59:57.700",76,"TEN","right",74.82,26.32,2.94,0.23,0.3,337.02,279.79,"None",1
"27",2021091207,3828,35472,27,"2021-09-12T19:59:57.800",76,"TEN","right",74.54,26.35,2.87,0.78,0.29,338.54,278.33,"None",1
"28",2021091207,3828,35472,28,"2021-09-12T19:59:57.900",76,"TEN","right",74.26,26.37,2.73,1.34,0.27,337.22,275.51,"None",1
"29",2021091207,3828,35472,29,"2021-09-12T19:59:58.000",76,"TEN","right",74,26.38,2.57,1.7,0.26,336.32,273.08,"None",1
"30",2021091207,3828,35472,30,"2021-09-12T19:59:58.100",76,"TEN","right",73.76,26.35,2.38,2.01,0.24,337.65,267.97,"None",1
"31",2021091207,3828,35472,31,"2021-09-12T19:59:58.200",76,"TEN","right",73.53,26.32,2.2,2.14,0.23,341.62,264.18,"None",1
"32",2021091207,3828,35472,32,"2021-09-12T19:59:58.300",76,"TEN","right",73.31,26.29,2.09,1.96,0.23,344.46,261.19,"None",1
"33",2021091207,3828,35472,33,"2021-09-12T19:59:58.400",76,"TEN","right",73.1,26.26,1.95,1.79,0.21,347.64,259,"None",1
"34",2021091207,3828,35472,34,"2021-09-12T19:59:58.500",76,"TEN","right",72.91,26.24,1.81,1.54,0.19,350.34,259.54,"None",1
"35",2021091207,3828,35472,35,"2021-09-12T19:59:58.600",76,"TEN","right",72.73,26.22,1.7,1.3,0.18,354.06,260.34,"None",1
"36",2021091207,3828,35472,36,"2021-09-12T19:59:58.700",76,"TEN","right",72.56,26.2,1.62,1.19,0.17,356.45,262.25,"None",1
"37",2021091207,3828,35472,37,"2021-09-12T19:59:58.800",76,"TEN","right",72.41,26.19,1.48,1.33,0.15,356.45,267.02,"None",1
"38",2021091207,3828,35472,38,"2021-09-12T19:59:58.900",76,"TEN","right",72.27,26.2,1.35,1.37,0.14,357.07,271.95,"None",1
"39",2021091207,3828,35472,39,"2021-09-12T19:59:59.000",76,"TEN","right",72.14,26.23,1.28,1.39,0.14,358.91,280.7,"None",1
"40",2021091207,3828,35472,40,"2021-09-12T19:59:59.100",76,"TEN","right",72.01,26.28,1.26,1.43,0.14,358.91,290.96,"None",1
"41",2021091207,3828,35472,41,"2021-09-12T19:59:59.200",76,"TEN","right",71.89,26.33,1.23,1.18,0.13,356.4,295.33,"None",1
"42",2021091207,3828,35472,42,"2021-09-12T19:59:59.300",76,"TEN","right",71.79,26.4,1.22,1.1,0.13,353.35,302.97,"None",1
"43",2021091207,3828,35472,43,"2021-09-12T19:59:59.400",76,"TEN","right",71.68,26.49,1.24,0.96,0.13,349.66,309.17,"None",1
"44",2021091207,3828,35472,44,"2021-09-12T19:59:59.500",76,"TEN","right",71.59,26.57,1.24,0.78,0.13,341.15,313.32,"qb_sack",1
"45",2021091207,3828,35472,45,"2021-09-12T19:59:59.600",76,"TEN","right",71.5,26.66,1.26,0.64,0.13,333.43,316.88,"None",1
"46",2021091207,3828,35472,46,"2021-09-12T19:59:59.700",76,"TEN","right",71.41,26.76,1.26,0.54,0.13,326.2,319.72,"None",1
"47",2021091207,3828,35472,47,"2021-09-12T19:59:59.800",76,"TEN","right",71.33,26.86,1.23,0.51,0.13,316.08,320.57,"None",1
"48",2021091207,3828,35472,48,"2021-09-12T19:59:59.900",76,"TEN","right",71.25,26.96,1.23,0.47,0.13,301.21,321.06,"None",1
"49",2021091207,3828,35472,49,"2021-09-12T20:00:00.000",76,"TEN","right",71.17,27.06,1.19,0.55,0.12,293.37,322.71,"None",1
"50",2021091207,3828,37079,1,"2021-09-12T19:59:55.200",2,"TEN","right",77.79,36.71,0.13,0.59,0.01,137.36,189.71,"None",1
"51",2021091207,3828,37079,2,"2021-09-12T19:59:55.300",2,"TEN","right",77.79,36.7,0.15,0.42,0.01,136.22,183.13,"None",1
