"week","gameId","playId","frameId","oe","prob","desc_play"
1,2021091207,3828,1,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,2,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,3,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,4,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,5,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,6,1.49619300398235,0.998072494209437,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,7,1.49619300398235,0.998072494209437,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,8,1.49619300398235,0.998072494209437,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,9,1.49619300398235,0.998072494209437,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,10,1.53059273920693,0.998999979138446,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,11,1.53059273920693,0.998999979138446,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,12,1.53059273920693,0.998999979138446,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,13,1.40651766245491,0.991040199763367,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,14,1.16342948471928,0.829164364121425,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,15,1.07019947188348,0.658232084978744,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,16,1.07019947188348,0.658232084978744,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,17,1.09425190138894,0.708081859373325,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,18,1.09425190138894,0.708081859373325,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,19,1.14083647024477,0.793670982955391,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,20,1.14083647024477,0.793670982955391,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,21,0.88368813000081,0.248535152559248,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,22,0.88368813000081,0.248535152559248,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,23,0.88368813000081,0.248535152559248,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,24,0.88368813000081,0.248535152559248,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,25,0.88368813000081,0.248535152559248,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,26,0.940757853675201,0.364454465361099,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,27,0.99455817698052,0.486798305367388,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,28,0.790394691836592,0.110721235887966,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
