"week","gameId","playId","frameId","event","player","player_pos","color","officialPosition","x","y","oe","prob","desc_play"
1,2021091207,3828,1,"None",38538,"qb","yellow","QB",74.31,23.88,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,1,"None",35472,"line","green","G",77.65,25.41,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,1,"None",38629,"line","green","C",78.7,23.84,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,1,"None",40124,"line","green","G",77.39,21.01,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,1,"None",41237,"line","green","T",77.44,26.91,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,1,"None",47865,"line","green","G",77.81,22.51,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,1,"None",40008,"defense","pink","CB",86.83,12.92,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,1,"None",42427,"defense","pink","ILB",82.98,25.11,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,1,"None",44848,"defense","pink","SS",95.11,31.12,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,1,"None",46250,"defense","pink","OLB",79.61,18.39,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,1,"None",47816,"defense","pink","CB",80.13,17.01,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
1,2021091207,3828,1,"None",47848,"defense","pink","DE",80.28,26.52,1.47869306858865,0.99734680894454,"(9:22) (No Huddle, Shotgun) R.Tannehill sacked at ARI 41 for -10 yards (M.Dogbe)."
